Date,Time,ID,Asset,Signal,Entry,Target,StopLoss,Confidence,Timeframe,Result,ActualExit,ROI,Notes
2024-09-25,11:00,PRED523,BTC/USD,BUY,46200,47500,45500,88%,4H,WIN,47850,3.57%,Golden cross on 4H chart
2024-09-25,10:15,PRED522,ETH/USD,BUY,2850,2950,2800,79%,6H,WIN,2965,4.04%,Ascending triangle breakout
2024-09-25,09:00,PRED521,SOL/USD,SELL,145,140,148,75%,2H,WIN,138.5,4.48%,Bearish head and shoulders
2024-09-25,08:00,PRED520,ADA/USD,BUY,0.35,0.38,0.33,80%,6H,WIN,0.385,10%,Volume breakout confirmed
2024-09-24,20:15,PRED519,VET/USD,BUY,0.022,0.024,0.020,78%,4H,WIN,0.0242,10%,Breakout from accumulation
2024-09-24,19:00,PRED518,ICP/USD,HOLD,3.8,3.95,3.65,70%,1D,PENDING,,,Range-bound trading
2024-09-24,17:45,PRED517,NEAR/USD,BUY,1.15,1.20,1.10,83%,6H,WIN,1.21,5.22%,Support bounce confirmed
2024-09-24,16:30,PRED516,ALGO/USD,SELL,0.12,0.115,0.125,74%,3H,WIN,0.114,5%,Bearish divergence
2024-09-24,15:15,PRED515,FTM/USD,BUY,0.28,0.30,0.26,81%,4H,WIN,0.302,7.86%,Volume surge detected
2024-09-24,14:00,PRED514,UNI/USD,HOLD,5.2,5.35,5.05,69%,1D,PENDING,,,Consolidation continues
2024-09-24,12:45,PRED513,ATOM/USD,BUY,7.8,8.2,7.5,76%,6H,WIN,8.25,5.77%,Strong momentum
2024-09-24,11:30,PRED512,BNB/USD,SELL,215,210,218,71%,4H,LOSS,219,-1.86%,Unexpected pump
2024-09-24,10:30,PRED511,DOT/USD,HOLD,4.15,4.25,4.05,68%,1D,PENDING,,,Neutral structure
2024-09-24,09:15,PRED510,LINK/USD,BUY,11.2,11.8,10.8,77%,4H,WIN,11.95,6.7%,Bullish flag pattern
2024-09-24,08:00,PRED509,AVAX/USD,SELL,25.5,24.0,26.5,82%,6H,WIN,23.75,6.86%,Resistance rejection
2024-09-24,06:45,PRED508,XRP/USD,BUY,0.52,0.54,0.50,78%,3H,WIN,0.542,4.23%,Support level held
2024-09-24,05:30,PRED507,DOGE/USD,HOLD,0.061,0.063,0.059,65%,1D,PENDING,,,Waiting for trend
2024-09-24,04:15,PRED506,MATIC/USD,BUY,0.52,0.55,0.50,72%,4H,LOSS,0.495,-4.81%,False breakout
2024-09-24,03:00,PRED505,BTC/USD,BUY,45000,46500,44000,85%,4H,WIN,46750,3.89%,Strong RSI divergence
2024-09-24,01:30,PRED504,ETH/USD,HOLD,2800,2850,2750,70%,1D,PENDING,,,Consolidation phase